iter	Passed	Remaining
1283	15370	8571
1284	15384	8560
1285	15399	8549
1286	15413	8539
1287	15422	8525
1288	15435	8514
1289	15451	8504
1290	15464	8493
1291	15472	8478
1292	15481	8464
1293	15488	8450
1294	15494	8435
1295	15501	8420
1296	15510	8406
1297	15517	8392
1298	15524	8377
1299	15532	8363
1300	15538	8348
1301	15545	8333
1302	15558	8322
1303	15573	8312
1304	15588	8301
1305	15602	8291
1306	15612	8278
1307	15620	8263
1308	15628	8249
1309	15639	8237
1310	15653	8226
1311	15667	8216
1312	15681	8205
1313	15691	8192
1314	15705	8181
1315	15720	8170
1316	15727	8156
1317	15737	8143
1318	15752	8132
1319	15767	8122
1320	15781	8112
1321	15791	8099
1322	15802	8086
1323	15815	8075
1324	15823	8060
1325	15833	8047
1326	15847	8037
1327	15862	8026
1328	15876	8015
1329	15891	8005
1330	15905	7994
1331	15920	7984
1332	15929	7970
1333	15943	7959
1334	15957	7948
1335	15971	7938
1336	15986	7927
1337	16000	7916
1338	16014	7905
1339	16024	7892
1340	16038	7881
1341	16045	7867
1342	16056	7854
1343	16070	7843
1344	16084	7832
1345	16094	7820
1346	16104	7807
1347	16113	7793
1348	16123	7780
1349	16131	7766
1350	16139	7753
1351	16150	7740
1352	16164	7729
1353	16179	7719
1354	16193	7708
1355	16208	7697
1356	16222	7686
1357	16231	7673
1358	16244	7661
1359	16259	7651
1360	16272	7639
1361	16286	7629
1362	16301	7618
1363	16310	7605
1364	16323	7593
1365	16331	7579
1366	16338	7565
1367	16346	7551
1368	16356	7539
1369	16371	7528
1370	16385	7517
1371	16399	7506
1372	16413	7495
1373	16423	7482
1374	16430	7468
1375	16438	7454
1376	16450	7442
1377	16464	7431
1378	16478	7420
1379	16492	7409
1380	16506	7398
1381	16516	7385
1382	16529	7374
1383	16538	7361
1384	16548	7348
1385	16556	7334
1386	16569	7323
1387	16579	7310
1388	16593	7299
1389	16608	7288
1390	16623	7277
1391	16633	7265
1392	16643	7252
1393	16656	7240
1394	16671	7230
1395	16685	7219
1396	16699	7208
1397	16713	7197
1398	16726	7185
1399	16735	7172
1400	16749	7161
1401	16764	7150
1402	16779	7139
1403	16788	7126
1404	16797	7113
1405	16811	7102
1406	16825	7091
1407	16835	7078
1408	16847	7066
1409	16856	7053
1410	16864	7039
1411	16878	7028
1412	16892	7017
1413	16906	7006
1414	16921	6995
1415	16932	6983
1416	16943	6971
1417	16951	6957
1418	16959	6943
1419	16973	6932
1420	16987	6921
1421	17002	6910
1422	17012	6898
1423	17021	6885
1424	17033	6873
1425	17046	6861
1426	17055	6848
1427	17068	6837
1428	17083	6826
1429	17097	6815
1430	17111	6803
1431	17125	6792
1432	17134	6779
1433	17148	6768
1434	17163	6757
1435	17177	6746
1436	17192	6735
1437	17206	6724
1438	17221	6713
1439	17231	6701
1440	17238	6687
1441	17247	6674
1442	17259	6662
1443	17274	6651
1444	17290	6640
1445	17304	6629
1446	17318	6618
1447	17332	6607
1448	17340	6594
1449	17350	6581
1450	17363	6569
1451	17372	6556
1452	17385	6544
1453	17398	6533
1454	17412	6522
1455	17424	6510
1456	17432	6496
1457	17439	6482
1458	17448	6469
1459	17456	6456
1460	17464	6443
1461	17473	6430
1462	17482	6416
1463	17496	6405
1464	17510	6394
1465	17523	6383
1466	17536	6371
1467	17545	6358
1468	17559	6347
1469	17574	6336
1470	17588	6325
1471	17603	6314
1472	17616	6302
1473	17630	6291
1474	17639	6278
1475	17653	6267
1476	17668	6256
1477	17683	6245
1478	17696	6233
1479	17711	6222
1480	17725	6211
1481	17736	6199
1482	17748	6187
1483	17757	6174
1484	17764	6160
1485	17779	6149
1486	17793	6138
1487	17802	6125
1488	17812	6112
1489	17826	6101
1490	17836	6089
1491	17845	6076
1492	17859	6064
1493	17873	6053
1494	17887	6042
1495	17901	6031
1496	17916	6019
1497	17929	6008
1498	17939	5995
1499	17952	5984
1500	17962	5971
1501	17969	5958
1502	17978	5945
1503	17991	5933
1504	18000	5920
1505	18014	5909
1506	18028	5897
1507	18038	5885
1508	18048	5872
1509	18061	5861
1510	18074	5849
1511	18088	5838
1512	18102	5826
1513	18116	5815
1514	18127	5803
1515	18135	5789
1516	18143	5776
1517	18157	5765
1518	18171	5754
1519	18185	5742
1520	18200	5731
1521	18214	5720
1522	18228	5709
1523	18238	5696
